movieId,title,releaseYear,genres,description
2,"The Matrix",1999,"Action|Sci-Fi","A hacker discovers the simulated reality and his role."
50,"No Country for Old Men",2007,"Crime|Drama|Thriller","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong."
3,"Interstellar",2014,"Adventure|Drama|Sci-Fi","Space exploration through a wormhole to save humanity."
51,"There Will Be Blood",2007,"Drama","A story of family, religion, hatred, oil and madness, centered around a turn-of-the-century prospector."
4,"Parasite",2019,"Comedy|Drama|Thriller","Class struggle between two families."
58,"Joker",2019,"Crime|Drama|Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society."
11,"Goodfellas",1990,"Biography|Crime|Drama","The story of Henry Hill and his life in the mob."
59,"1917",2019,"Drama|War","Two young British soldiers during the First World War are given an impossible mission."
12,"The Lord of the Rings: The Return of the King",2003,"Action|Adventure|Drama","Gandalf and Aragorn lead the World of Men against Sauron's army."
60,"Everything Everywhere All at Once",2022,"Action|Adventure|Comedy","An aging Chinese immigrant is swept up in an insane adventure."
13,"Star Wars: Episode V - The Empire Strikes Back",1980,"Action|Adventure|Fantasy","The Rebels scatter after the Empire attacks their base."
61,"judaai",1997,"anger|love|money","heartbreak"
14,"The Godfather",1972,"Crime|Drama","The aging patriarch of an organized crime dynasty transfers control."
57,"La La Land",2016,"Comedy|Drama|Music","Two aspiring artists fall in love while pursuing their dreams in Los Angeles."
10,"Fight Club",1999,"Drama","An insomniac office worker looking for a way to change his life."
56,"Moonlight",2016,"Drama","A young African-American man grapples with his identity and sexuality."
9,"Schindler's List",1993,"Biography|Drama|History","A German businessman saves Jews during the Holocaust."
55,"Get Out",2017,"Horror|Mystery|Thriller","A young African-American visits his white girlfriend's parents for the weekend."
8,"The Dark Knight",2008,"Action|Crime|Drama","Batman faces the Joker's chaos in Gotham."
54,"Arrival",2016,"Drama|Mystery|Sci-Fi","A linguist works with the military to communicate with alien lifeforms."
